image_id,manufacturer,family,variant
0034309,Douglas Aircraft Company,DC-8,DC-8
0034958,Boeing,Boeing 737,737-200
0037511,McDonnell Douglas,DC-9,DC-9-30
0037512,Boeing,Boeing 737,737-200
0038598,McDonnell Douglas,MD-11,MD-11
0038626,McDonnell Douglas,DC-9,DC-9-30
0038671,Boeing,Boeing 717,Boeing 717
0041419,Gulfstream Aerospace,Gulfstream,Gulfstream IV
0043750,Douglas Aircraft Company,C-47,C-47
0043890,McDonnell Douglas,DC-10,DC-10
0043892,Canadair,Challenger 600,Challenger 600
0045128,Boeing,Boeing 747,747-200
0045133,Douglas Aircraft Company,DC-3,DC-3
0046946,McDonnell Douglas,MD-90,MD-90
0048339,Beechcraft,Beechcraft 1900,Beechcraft 1900
0048340,Beechcraft,Beechcraft 1900,Beechcraft 1900
0048341,Boeing,Boeing 727,727-200
0054367,Boeing,Boeing 737,737-200
0056297,Boeing,Boeing 757,757-200
0056299,Boeing,Boeing 747,747-400
0056323,Boeing,Boeing 757,757-200
0056324,de Havilland,Dash 8,DHC-8-100
0056331,Boeing,Boeing 737,737-200
0056333,de Havilland,Dash 8,DHC-8-100
0056337,Boeing,Boeing 727,727-200
0056589,McDonnell Douglas,MD-80,MD-87
0056782,Airbus,A340,A340-200
0056978,Boeing,Boeing 707,707-320
0059101,Boeing,Boeing 737,737-200
0059107,Canadair,CRJ-200,CRJ-200
0059112,Embraer,Embraer ERJ 145,ERJ 135
0061136,Boeing,Boeing 717,Boeing 717
0061139,Boeing,Boeing 767,767-300
0061307,Boeing,Boeing 737,737-300
0061399,McDonnell Douglas,MD-11,MD-11
0061401,Lockheed Corporation,L-1011,L-1011
0061580,Boeing,Boeing 737,737-200
0061581,Boeing,Boeing 727,727-200
0062125,Embraer,Embraer ERJ 145,ERJ 145
0062131,Airbus,A320,A321
0062134,McDonnell Douglas,DC-9,DC-9-30
0062223,Boeing,Boeing 747,747-100
0062224,McDonnell Douglas,DC-10,DC-10
0062226,McDonnell Douglas,DC-10,DC-10
0062255,McDonnell Douglas,DC-9,DC-9-30
0062258,Airbus,A340,A340-200
0062260,British Aerospace,BAE 146,BAE 146-300
0062651,Fokker,Fokker 70,Fokker 70
0062653,Douglas Aircraft Company,DC-8,DC-8
0062655,Boeing,Boeing 737,737-400
0062662,Douglas Aircraft Company,DC-8,DC-8
0062664,Fairchild,Metroliner,Metroliner
0062667,Boeing,Boeing 737,737-300
0062669,Tupolev,Tu-134,Tu-134
0062672,Boeing,Boeing 747,747-400
0062675,Tupolev,Tu-154,Tu-154
0062679,Boeing,Boeing 737,737-200
0062680,Tupolev,Tu-154,Tu-154
0062687,Tupolev,Tu-154,Tu-154
0062694,Douglas Aircraft Company,DC-6,DC-6
0062695,Fokker,Fokker 50,Fokker 50
0062696,McDonnell Douglas,DC-10,DC-10
0062697,de Havilland,Dash 8,DHC-8-300
0062699,Douglas Aircraft Company,DC-8,DC-8
0062708,McDonnell Douglas,MD-90,MD-90
0062709,Tupolev,Tu-134,Tu-134
0062719,Airbus,A310,A310
0062722,Tupolev,Tu-154,Tu-154
0062723,Tupolev,Tu-154,Tu-154
0062765,Boeing,Boeing 707,707-320
0062766,Boeing,Boeing 767,767-200
0062768,Airbus,A340,A340-200
0062769,Boeing,Boeing 747,747-400
0062771,Tupolev,Tu-154,Tu-154
0062781,Boeing,Boeing 707,707-320
0062857,Airbus,A340,A340-300
0063052,Boeing,Boeing 727,727-200
0063053,Lockheed Corporation,L-1011,L-1011
0063055,Boeing,Boeing 767,767-200
0063059,McDonnell Douglas,DC-10,DC-10
0063096,Airbus,A300,A300B4
0063102,McDonnell Douglas,MD-90,MD-90
0063105,Airbus,A300,A300B4
0063113,Boeing,Boeing 727,727-200
0063272,McDonnell Douglas,MD-80,MD-80
0063273,Canadair,CRJ-200,CRJ-200
0063277,Lockheed Corporation,L-1011,L-1011
0063281,Airbus,A310,A310
0063283,Fairchild,Metroliner,Metroliner
0063284,Boeing,Boeing 737,737-400
0063286,Beechcraft,Beechcraft 1900,Beechcraft 1900
0063288,McDonnell Douglas,MD-11,MD-11
0063289,Beechcraft,Beechcraft 1900,Beechcraft 1900
0063290,Airbus,A300,A300B4
0063291,Boeing,Boeing 727,727-200
0063292,Tupolev,Tu-134,Tu-134
0063293,Tupolev,Tu-134,Tu-134
0063295,Boeing,Boeing 747,747-300
0063435,Boeing,Boeing 707,707-320
0063835,Airbus,A340,A340-200
0063838,McDonnell Douglas,DC-10,DC-10
0063917,Lockheed Corporation,L-1011,L-1011
0063918,Dornier,Dornier 328,Dornier 328
0063919,de Havilland,Dash 8,DHC-8-100
0063920,Fairchild,Metroliner,Metroliner
0063923,ATR,ATR-42,ATR-42
0063925,Fokker,Fokker 100,Fokker 100
0063926,de Havilland,Dash 8,DHC-8-100
0064005,Boeing,Boeing 727,727-200
0064007,Boeing,Boeing 747,747-100
